CLASS	METHOD	PARAMETER	INDEX
com.netflix.eureka.registry.Key	Key(com.netflix.eureka.registry.Key.EntityType,java.lang.String,com.netflix.eureka.registry.Key.KeyType,com.netflix.eureka.Version,com.netflix.appinfo.EurekaAccept,java.lang.String[])	type	2
com.netflix.eureka.registry.Key	Key(com.netflix.eureka.registry.Key.EntityType,java.lang.String,com.netflix.eureka.registry.Key.KeyType,com.netflix.eureka.Version,com.netflix.appinfo.EurekaAccept,java.lang.String[])	entityType	0
com.netflix.eureka.registry.Key	Key(com.netflix.eureka.registry.Key.EntityType,java.lang.String,com.netflix.eureka.registry.Key.KeyType,com.netflix.eureka.Version,com.netflix.appinfo.EurekaAccept,java.lang.String[])	regions	5
com.netflix.eureka.registry.Key	Key(com.netflix.eureka.registry.Key.EntityType,java.lang.String,com.netflix.eureka.registry.Key.KeyType,com.netflix.eureka.Version,com.netflix.appinfo.EurekaAccept,java.lang.String[])	v	3
com.netflix.eureka.registry.Key	Key(com.netflix.eureka.registry.Key.EntityType,java.lang.String,com.netflix.eureka.registry.Key.KeyType,com.netflix.eureka.Version,com.netflix.appinfo.EurekaAccept,java.lang.String[])	eurekaAccept	4
com.netflix.eureka.registry.Key	Key(com.netflix.eureka.registry.Key.EntityType,java.lang.String,com.netflix.eureka.registry.Key.KeyType,com.netflix.eureka.Version,com.netflix.appinfo.EurekaAccept,java.lang.String[])	entityName	1
com.netflix.eureka.registry.Key	equals(java.lang.Object)	other	0
com.netflix.eureka.registry.PeerAwareInstanceRegistryImpl$1	compare(com.netflix.discovery.shared.Application,com.netflix.discovery.shared.Application)	l	0
com.netflix.eureka.registry.PeerAwareInstanceRegistryImpl	PeerAwareInstanceRegistryImpl(com.netflix.eureka.EurekaServerConfig,com.netflix.discovery.EurekaClientConfig,com.netflix.eureka.resources.ServerCodecs,com.netflix.discovery.EurekaClient)	eurekaClient	3
com.netflix.eureka.registry.PeerAwareInstanceRegistryImpl	init(com.netflix.eureka.cluster.PeerEurekaNodes)	peerEurekaNodes	0
com.netflix.eureka.registry.PeerAwareInstanceRegistryImpl	openForTraffic(com.netflix.appinfo.ApplicationInfoManager,int)	count	1
com.netflix.eureka.registry.PeerAwareInstanceRegistryImpl	openForTraffic(com.netflix.appinfo.ApplicationInfoManager,int)	applicationInfoManager	0
com.netflix.eureka.registry.PeerAwareInstanceRegistryImpl	shouldAllowAccess(boolean)	remoteRegionRequired	0
com.netflix.eureka.registry.PeerAwareInstanceRegistryImpl	register(com.netflix.appinfo.InstanceInfo,boolean)	info	0
com.netflix.eureka.registry.PeerAwareInstanceRegistryImpl	statusUpdate(java.lang.String,com.netflix.eureka.resources.ASGResource.ASGStatus,boolean)	isReplication	2
com.netflix.eureka.registry.PeerAwareInstanceRegistryImpl	isRegisterable(com.netflix.appinfo.InstanceInfo)	instanceInfo	0
com.netflix.eureka.registry.PeerAwareInstanceRegistryImpl	replicateToPeers(com.netflix.eureka.registry.PeerAwareInstanceRegistryImpl.Action,java.lang.String,java.lang.String,com.netflix.appinfo.InstanceInfo,com.netflix.appinfo.InstanceInfo.InstanceStatus,boolean)	action	0
com.netflix.eureka.registry.PeerAwareInstanceRegistryImpl	replicateToPeers(com.netflix.eureka.registry.PeerAwareInstanceRegistryImpl.Action,java.lang.String,java.lang.String,com.netflix.appinfo.InstanceInfo,com.netflix.appinfo.InstanceInfo.InstanceStatus,boolean)	isReplication	5
com.netflix.eureka.registry.PeerAwareInstanceRegistryImpl	replicateInstanceActionsToPeers(com.netflix.eureka.registry.PeerAwareInstanceRegistryImpl.Action,java.lang.String,java.lang.String,com.netflix.appinfo.InstanceInfo,com.netflix.appinfo.InstanceInfo.InstanceStatus,com.netflix.eureka.cluster.PeerEurekaNode)	node	5
com.netflix.eureka.registry.PeerAwareInstanceRegistryImpl	replicateInstanceActionsToPeers(com.netflix.eureka.registry.PeerAwareInstanceRegistryImpl.Action,java.lang.String,java.lang.String,com.netflix.appinfo.InstanceInfo,com.netflix.appinfo.InstanceInfo.InstanceStatus,com.netflix.eureka.cluster.PeerEurekaNode)	action	0
com.netflix.eureka.registry.PeerAwareInstanceRegistryImpl	replicateASGInfoToReplicaNodes(java.lang.String,com.netflix.eureka.resources.ASGResource.ASGStatus,com.netflix.eureka.cluster.PeerEurekaNode)	node	2
com.netflix.eureka.cluster.PeerEurekaNode	PeerEurekaNode(com.netflix.eureka.registry.PeerAwareInstanceRegistry,java.lang.String,java.lang.String,com.netflix.eureka.cluster.HttpReplicationClient,com.netflix.eureka.EurekaServerConfig,int,long,long,long)	targetHost	1
com.netflix.eureka.cluster.PeerEurekaNode	PeerEurekaNode(com.netflix.eureka.registry.PeerAwareInstanceRegistry,java.lang.String,java.lang.String,com.netflix.eureka.cluster.HttpReplicationClient,com.netflix.eureka.EurekaServerConfig,int,long,long,long)	replicationClient	3
com.netflix.eureka.cluster.PeerEurekaNode	PeerEurekaNode(com.netflix.eureka.registry.PeerAwareInstanceRegistry,java.lang.String,java.lang.String,com.netflix.eureka.cluster.HttpReplicationClient,com.netflix.eureka.EurekaServerConfig,int,long,long,long)	registry	0
com.netflix.eureka.cluster.PeerEurekaNode	PeerEurekaNode(com.netflix.eureka.registry.PeerAwareInstanceRegistry,java.lang.String,java.lang.String,com.netflix.eureka.cluster.HttpReplicationClient,com.netflix.eureka.EurekaServerConfig,int,long,long,long)	config	4
com.netflix.eureka.cluster.PeerEurekaNode	PeerEurekaNode(com.netflix.eureka.registry.PeerAwareInstanceRegistry,java.lang.String,java.lang.String,com.netflix.eureka.cluster.HttpReplicationClient,com.netflix.eureka.EurekaServerConfig,int,long,long,long)	serviceUrl	2
com.netflix.eureka.cluster.PeerEurekaNode$2	handleFailure(int,java.lang.Object)	statusCode	0
com.netflix.eureka.cluster.PeerEurekaNode	heartbeat(java.lang.String,java.lang.String,com.netflix.appinfo.InstanceInfo,com.netflix.appinfo.InstanceInfo.InstanceStatus,boolean)	info	2
com.netflix.eureka.cluster.PeerEurekaNode	heartbeat(java.lang.String,java.lang.String,com.netflix.appinfo.InstanceInfo,com.netflix.appinfo.InstanceInfo.InstanceStatus,boolean)	overriddenStatus	3
com.netflix.eureka.cluster.PeerEurekaNode	heartbeat(java.lang.String,java.lang.String,com.netflix.appinfo.InstanceInfo,com.netflix.appinfo.InstanceInfo.InstanceStatus,boolean)	primeConnection	4
com.netflix.eureka.cluster.PeerEurekaNode$3	handleFailure(int,java.lang.Object)	statusCode	0
com.netflix.eureka.cluster.PeerEurekaNode$3	handleFailure(int,java.lang.Object)	responseEntity	1
com.netflix.eureka.cluster.PeerEurekaNode	equals(java.lang.Object)	obj	0
com.netflix.eureka.cluster.PeerEurekaNode	syncInstancesIfTimestampDiffers(java.lang.String,java.lang.String,com.netflix.appinfo.InstanceInfo,com.netflix.appinfo.InstanceInfo)	infoFromPeer	3
com.netflix.eureka.cluster.PeerEurekaNode	taskId(java.lang.String,java.lang.String,java.lang.String)	requestType	0
com.netflix.eureka.cluster.PeerEurekaNode	taskId(java.lang.String,java.lang.String,java.lang.String)	id	2
com.netflix.eureka.cluster.PeerEurekaNode	taskId(java.lang.String,java.lang.String,java.lang.String)	appName	1
com.netflix.eureka.cluster.PeerEurekaNode	getLeaseRenewalOf(com.netflix.appinfo.InstanceInfo)	info	0
com.netflix.eureka.util.EurekaMonitors	EurekaMonitors(java.lang.String,java.lang.String)	description	1
com.netflix.eureka.util.EurekaMonitors	EurekaMonitors(java.lang.String,java.lang.String)	name	0
com.netflix.eureka.util.EurekaMonitors	increment(boolean)	isReplication	0
com.netflix.eureka.registry.AbstractInstanceRegistry	AbstractInstanceRegistry(com.netflix.eureka.EurekaServerConfig,com.netflix.discovery.EurekaClientConfig,com.netflix.eureka.resources.ServerCodecs)	serverConfig	0
com.netflix.eureka.registry.AbstractInstanceRegistry	AbstractInstanceRegistry(com.netflix.eureka.EurekaServerConfig,com.netflix.discovery.EurekaClientConfig,com.netflix.eureka.resources.ServerCodecs)	clientConfig	1
com.netflix.eureka.registry.AbstractInstanceRegistry	AbstractInstanceRegistry(com.netflix.eureka.EurekaServerConfig,com.netflix.discovery.EurekaClientConfig,com.netflix.eureka.resources.ServerCodecs)	serverCodecs	2
com.netflix.eureka.registry.AbstractInstanceRegistry	register(com.netflix.appinfo.InstanceInfo,int,boolean)	leaseDuration	1
com.netflix.eureka.registry.AbstractInstanceRegistry	register(com.netflix.appinfo.InstanceInfo,int,boolean)	registrant	0
com.netflix.eureka.registry.AbstractInstanceRegistry	storeOverriddenStatusIfRequired(java.lang.String,com.netflix.appinfo.InstanceInfo.InstanceStatus)	overriddenStatus	1
com.netflix.eureka.registry.AbstractInstanceRegistry	storeOverriddenStatusIfRequired(java.lang.String,java.lang.String,com.netflix.appinfo.InstanceInfo.InstanceStatus)	overriddenStatus	2
com.netflix.eureka.registry.AbstractInstanceRegistry	statusUpdate(java.lang.String,java.lang.String,com.netflix.appinfo.InstanceInfo.InstanceStatus,java.lang.String,boolean)	lastDirtyTimestamp	3
com.netflix.eureka.registry.AbstractInstanceRegistry	deleteStatusOverride(java.lang.String,java.lang.String,com.netflix.appinfo.InstanceInfo.InstanceStatus,java.lang.String,boolean)	lastDirtyTimestamp	3
com.netflix.eureka.registry.AbstractInstanceRegistry	getApplication(java.lang.String,boolean)	appName	0
com.netflix.eureka.registry.AbstractInstanceRegistry	getApplication(java.lang.String,boolean)	includeRemoteRegion	1
com.netflix.eureka.registry.AbstractInstanceRegistry	getApplicationsFromMultipleRegions(java.lang.String[])	remoteRegions	0
com.netflix.eureka.registry.AbstractInstanceRegistry	getApplications(boolean)	includeRemoteRegion	0
com.netflix.eureka.registry.AbstractInstanceRegistry	getApplicationDeltasFromMultipleRegions(java.lang.String[])	remoteRegions	0
com.netflix.eureka.registry.AbstractInstanceRegistry	getInstanceByAppAndId(java.lang.String,java.lang.String,boolean)	includeRemoteRegions	2
com.netflix.eureka.registry.AbstractInstanceRegistry	getInstancesById(java.lang.String,boolean)	includeRemoteRegions	1
com.netflix.eureka.registry.AbstractInstanceRegistry	decorateInstanceInfo(com.netflix.eureka.lease.Lease)	lease	0
com.netflix.eureka.registry.AbstractInstanceRegistry$RecentlyChangedItem	RecentlyChangedItem(com.netflix.eureka.lease.Lease)	lease	0
com.netflix.eureka.registry.AbstractInstanceRegistry$CircularQueue	CircularQueue(int)	capacity	0
com.netflix.eureka.cluster.ReplicationTask	ReplicationTask(java.lang.String,com.netflix.eureka.registry.PeerAwareInstanceRegistryImpl.Action)	peerNodeName	0
com.netflix.eureka.cluster.ReplicationTask	ReplicationTask(java.lang.String,com.netflix.eureka.registry.PeerAwareInstanceRegistryImpl.Action)	action	1
com.netflix.eureka.cluster.protocol.ReplicationList	ReplicationList(java.util.List)	replicationList	0
com.netflix.eureka.cluster.protocol.ReplicationList	equals(java.lang.Object)	o	0
com.netflix.eureka.cluster.protocol.ReplicationListResponse	ReplicationListResponse(java.util.List)	responseList	0
com.netflix.eureka.cluster.protocol.ReplicationListResponse	equals(java.lang.Object)	o	0
com.netflix.eureka.cluster.protocol.ReplicationInstanceResponse	ReplicationInstanceResponse(int,com.netflix.appinfo.InstanceInfo)	statusCode	0
com.netflix.eureka.cluster.protocol.ReplicationInstanceResponse	ReplicationInstanceResponse(int,com.netflix.appinfo.InstanceInfo)	responseEntity	1
com.netflix.eureka.cluster.protocol.ReplicationInstanceResponse	equals(java.lang.Object)	o	0
com.netflix.eureka.cluster.protocol.ReplicationInstanceResponse$Builder	setStatusCode(int)	statusCode	0
com.netflix.eureka.cluster.protocol.ReplicationInstanceResponse$Builder	setResponseEntity(com.netflix.appinfo.InstanceInfo)	entity	0
com.netflix.eureka.cluster.protocol.ReplicationInstance	ReplicationInstance(java.lang.String,java.lang.String,java.lang.Long,java.lang.String,java.lang.String,com.netflix.appinfo.InstanceInfo,com.netflix.eureka.registry.PeerAwareInstanceRegistryImpl.Action)	overriddenStatus	3
com.netflix.eureka.cluster.protocol.ReplicationInstance	ReplicationInstance(java.lang.String,java.lang.String,java.lang.Long,java.lang.String,java.lang.String,com.netflix.appinfo.InstanceInfo,com.netflix.eureka.registry.PeerAwareInstanceRegistryImpl.Action)	instanceInfo	5
com.netflix.eureka.cluster.protocol.ReplicationInstance	ReplicationInstance(java.lang.String,java.lang.String,java.lang.Long,java.lang.String,java.lang.String,com.netflix.appinfo.InstanceInfo,com.netflix.eureka.registry.PeerAwareInstanceRegistryImpl.Action)	appName	0
com.netflix.eureka.cluster.protocol.ReplicationInstance	ReplicationInstance(java.lang.String,java.lang.String,java.lang.Long,java.lang.String,java.lang.String,com.netflix.appinfo.InstanceInfo,com.netflix.eureka.registry.PeerAwareInstanceRegistryImpl.Action)	lastDirtyTimestamp	2
com.netflix.eureka.cluster.protocol.ReplicationInstance	ReplicationInstance(java.lang.String,java.lang.String,java.lang.Long,java.lang.String,java.lang.String,com.netflix.appinfo.InstanceInfo,com.netflix.eureka.registry.PeerAwareInstanceRegistryImpl.Action)	action	6
com.netflix.eureka.cluster.protocol.ReplicationInstance	ReplicationInstance(java.lang.String,java.lang.String,java.lang.Long,java.lang.String,java.lang.String,com.netflix.appinfo.InstanceInfo,com.netflix.eureka.registry.PeerAwareInstanceRegistryImpl.Action)	id	1
com.netflix.eureka.cluster.protocol.ReplicationInstance	ReplicationInstance(java.lang.String,java.lang.String,java.lang.Long,java.lang.String,java.lang.String,com.netflix.appinfo.InstanceInfo,com.netflix.eureka.registry.PeerAwareInstanceRegistryImpl.Action)	status	4
com.netflix.eureka.cluster.protocol.ReplicationInstance	equals(java.lang.Object)	o	0
com.netflix.eureka.cluster.protocol.ReplicationInstance$ReplicationInstanceBuilder	withAppName(java.lang.String)	appName	0
com.netflix.eureka.cluster.protocol.ReplicationInstance$ReplicationInstanceBuilder	withId(java.lang.String)	id	0
com.netflix.eureka.cluster.protocol.ReplicationInstance$ReplicationInstanceBuilder	withLastDirtyTimestamp(java.lang.Long)	lastDirtyTimestamp	0
com.netflix.eureka.cluster.protocol.ReplicationInstance$ReplicationInstanceBuilder	withOverriddenStatus(java.lang.String)	overriddenStatus	0
com.netflix.eureka.cluster.protocol.ReplicationInstance$ReplicationInstanceBuilder	withStatus(java.lang.String)	status	0
com.netflix.eureka.cluster.protocol.ReplicationInstance$ReplicationInstanceBuilder	withInstanceInfo(com.netflix.appinfo.InstanceInfo)	instanceInfo	0
com.netflix.eureka.cluster.protocol.ReplicationInstance$ReplicationInstanceBuilder	withAction(com.netflix.eureka.registry.PeerAwareInstanceRegistryImpl.Action)	action	0
com.netflix.eureka.util.MeasuredRate	MeasuredRate(long)	sampleInterval	0
com.netflix.eureka.lease.Lease	Lease(T,int)	durationInSecs	1
com.netflix.eureka.lease.Lease	Lease(T,int)	r	0
com.netflix.eureka.lease.Lease	setServiceUpTimestamp(long)	serviceUpTimestamp	0
com.netflix.eureka.lease.Lease	isExpired(long)	additionalLeaseMs	0
com.netflix.eureka.registry.rule.StatusOverrideResult	matchingStatus(com.netflix.appinfo.InstanceInfo.InstanceStatus)	status	0
com.netflix.eureka.registry.rule.StatusOverrideResult	StatusOverrideResult(boolean,com.netflix.appinfo.InstanceInfo.InstanceStatus)	status	1
com.netflix.eureka.registry.rule.StatusOverrideResult	StatusOverrideResult(boolean,com.netflix.appinfo.InstanceInfo.InstanceStatus)	matches	0
com.netflix.eureka.registry.RemoteRegionRegistry	RemoteRegionRegistry(com.netflix.eureka.EurekaServerConfig,com.netflix.discovery.EurekaClientConfig,com.netflix.eureka.resources.ServerCodecs,java.lang.String,java.net.URL)	serverConfig	0
com.netflix.eureka.registry.RemoteRegionRegistry	RemoteRegionRegistry(com.netflix.eureka.EurekaServerConfig,com.netflix.discovery.EurekaClientConfig,com.netflix.eureka.resources.ServerCodecs,java.lang.String,java.net.URL)	remoteRegionURL	4
com.netflix.eureka.registry.RemoteRegionRegistry	updateDelta(com.netflix.discovery.shared.Applications)	delta	0
com.netflix.eureka.registry.RemoteRegionRegistry	closeResponse(com.sun.jersey.api.client.ClientResponse)	response	0
com.netflix.eureka.registry.RemoteRegionRegistry	fetchRemoteRegistry(boolean)	delta	0
com.netflix.eureka.EurekaBootStrap	EurekaBootStrap(com.netflix.discovery.EurekaClient)	eurekaClient	0
com.netflix.eureka.EurekaBootStrap	contextInitialized(javax.servlet.ServletContextEvent)	event	0
com.netflix.eureka.EurekaBootStrap	getPeerEurekaNodes(com.netflix.eureka.registry.PeerAwareInstanceRegistry,com.netflix.eureka.EurekaServerConfig,com.netflix.discovery.EurekaClientConfig,com.netflix.eureka.resources.ServerCodecs,com.netflix.appinfo.ApplicationInfoManager)	serverCodecs	3
com.netflix.eureka.EurekaBootStrap	getPeerEurekaNodes(com.netflix.eureka.registry.PeerAwareInstanceRegistry,com.netflix.eureka.EurekaServerConfig,com.netflix.discovery.EurekaClientConfig,com.netflix.eureka.resources.ServerCodecs,com.netflix.appinfo.ApplicationInfoManager)	eurekaServerConfig	1
com.netflix.eureka.EurekaBootStrap	getPeerEurekaNodes(com.netflix.eureka.registry.PeerAwareInstanceRegistry,com.netflix.eureka.EurekaServerConfig,com.netflix.discovery.EurekaClientConfig,com.netflix.eureka.resources.ServerCodecs,com.netflix.appinfo.ApplicationInfoManager)	applicationInfoManager	4
com.netflix.eureka.EurekaBootStrap	getPeerEurekaNodes(com.netflix.eureka.registry.PeerAwareInstanceRegistry,com.netflix.eureka.EurekaServerConfig,com.netflix.discovery.EurekaClientConfig,com.netflix.eureka.resources.ServerCodecs,com.netflix.appinfo.ApplicationInfoManager)	registry	0
com.netflix.eureka.EurekaBootStrap	getPeerEurekaNodes(com.netflix.eureka.registry.PeerAwareInstanceRegistry,com.netflix.eureka.EurekaServerConfig,com.netflix.discovery.EurekaClientConfig,com.netflix.eureka.resources.ServerCodecs,com.netflix.appinfo.ApplicationInfoManager)	eurekaClientConfig	2
com.netflix.eureka.EurekaBootStrap	contextDestroyed(javax.servlet.ServletContextEvent)	event	0
com.netflix.eureka.EurekaBootStrap	isAws(com.netflix.appinfo.InstanceInfo)	selfInstanceInfo	0
com.netflix.eureka.registry.ResponseCacheImpl	ResponseCacheImpl(com.netflix.eureka.EurekaServerConfig,com.netflix.eureka.resources.ServerCodecs,com.netflix.eureka.registry.AbstractInstanceRegistry)	serverCodecs	1
com.netflix.eureka.registry.ResponseCacheImpl	ResponseCacheImpl(com.netflix.eureka.EurekaServerConfig,com.netflix.eureka.resources.ServerCodecs,com.netflix.eureka.registry.AbstractInstanceRegistry)	serverConfig	0
com.netflix.eureka.registry.ResponseCacheImpl	ResponseCacheImpl(com.netflix.eureka.EurekaServerConfig,com.netflix.eureka.resources.ServerCodecs,com.netflix.eureka.registry.AbstractInstanceRegistry)	registry	2
com.netflix.eureka.registry.ResponseCacheImpl$3	onRemoval(com.google.common.cache.RemovalNotification)	notification	0
com.netflix.eureka.registry.ResponseCacheImpl$2	load(com.netflix.eureka.registry.Key)	key	0
com.netflix.eureka.registry.ResponseCacheImpl	invalidate(java.lang.String,java.lang.String,java.lang.String)	secureVipAddress	2
com.netflix.eureka.registry.ResponseCacheImpl	invalidate(java.lang.String,java.lang.String,java.lang.String)	vipAddress	1
com.netflix.eureka.registry.ResponseCacheImpl	invalidate(com.netflix.eureka.registry.Key[])	keys	0
com.netflix.eureka.registry.ResponseCacheImpl	getValue(com.netflix.eureka.registry.Key,boolean)	useReadOnlyCache	1
com.netflix.eureka.registry.ResponseCacheImpl	getPayLoad(com.netflix.eureka.registry.Key,com.netflix.discovery.shared.Application)	app	1
com.netflix.eureka.registry.ResponseCacheImpl	generatePayload(com.netflix.eureka.registry.Key)	key	0
com.netflix.eureka.registry.ResponseCacheImpl	getApplicationsForVip(com.netflix.eureka.registry.Key,com.netflix.eureka.registry.AbstractInstanceRegistry)	registry	1
com.netflix.eureka.registry.ResponseCacheImpl$Value	Value(java.lang.String)	payload	0
com.netflix.eureka.registry.rule.FirstMatchWinsCompositeRule	FirstMatchWinsCompositeRule(com.netflix.eureka.registry.rule.InstanceStatusOverrideRule[])	rules	0
com.netflix.eureka.registry.rule.LeaseExistsRule	apply(com.netflix.appinfo.InstanceInfo,com.netflix.eureka.lease.Lease,boolean)	existingLease	1
com.netflix.eureka.registry.rule.LeaseExistsRule	apply(com.netflix.appinfo.InstanceInfo,com.netflix.eureka.lease.Lease,boolean)	isReplication	2
com.netflix.eureka.registry.rule.OverrideExistsRule	OverrideExistsRule(java.util.Map)	statusOverrides	0
com.netflix.eureka.registry.rule.AsgEnabledRule	AsgEnabledRule(com.netflix.eureka.aws.AsgClient)	asgClient	0
com.netflix.eureka.registry.rule.AsgEnabledRule	apply(com.netflix.appinfo.InstanceInfo,com.netflix.eureka.lease.Lease,boolean)	instanceInfo	0
com.netflix.eureka.EurekaServerContextHolder	EurekaServerContextHolder(com.netflix.eureka.EurekaServerContext)	serverContext	0
com.netflix.eureka.EurekaServerContextHolder	initialize(com.netflix.eureka.EurekaServerContext)	serverContext	0
com.netflix.eureka.cluster.InstanceReplicationTask	InstanceReplicationTask(java.lang.String,com.netflix.eureka.registry.PeerAwareInstanceRegistryImpl.Action,java.lang.String,java.lang.String)	id	3
com.netflix.eureka.cluster.InstanceReplicationTask	InstanceReplicationTask(java.lang.String,com.netflix.eureka.registry.PeerAwareInstanceRegistryImpl.Action,java.lang.String,java.lang.String)	appName	2
com.netflix.eureka.cluster.InstanceReplicationTask	InstanceReplicationTask(java.lang.String,com.netflix.eureka.registry.PeerAwareInstanceRegistryImpl.Action,com.netflix.appinfo.InstanceInfo,com.netflix.appinfo.InstanceInfo.InstanceStatus,boolean)	instanceInfo	2
com.netflix.eureka.cluster.InstanceReplicationTask	InstanceReplicationTask(java.lang.String,com.netflix.eureka.registry.PeerAwareInstanceRegistryImpl.Action,com.netflix.appinfo.InstanceInfo,com.netflix.appinfo.InstanceInfo.InstanceStatus,boolean)	overriddenStatus	3
com.netflix.eureka.cluster.InstanceReplicationTask	InstanceReplicationTask(java.lang.String,com.netflix.eureka.registry.PeerAwareInstanceRegistryImpl.Action,com.netflix.appinfo.InstanceInfo,com.netflix.appinfo.InstanceInfo.InstanceStatus,boolean)	replicateInstanceInfo	4
com.netflix.eureka.cluster.AsgReplicationTask	AsgReplicationTask(java.lang.String,com.netflix.eureka.registry.PeerAwareInstanceRegistryImpl.Action,java.lang.String,com.netflix.eureka.resources.ASGResource.ASGStatus)	asgName	2
com.netflix.eureka.cluster.AsgReplicationTask	AsgReplicationTask(java.lang.String,com.netflix.eureka.registry.PeerAwareInstanceRegistryImpl.Action,java.lang.String,com.netflix.eureka.resources.ASGResource.ASGStatus)	newStatus	3
com.netflix.eureka.cluster.DynamicGZIPContentEncodingFilter	DynamicGZIPContentEncodingFilter(com.netflix.eureka.EurekaServerConfig)	config	0
com.netflix.eureka.cluster.DynamicGZIPContentEncodingFilter	handle(com.sun.jersey.api.client.ClientRequest)	request	0
com.netflix.eureka.cluster.DynamicGZIPContentEncodingFilter	decompressResponse(com.sun.jersey.api.client.ClientResponse)	response	0
